stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_desc,wheelchair_boarding,platform_code,location_type,parent_station,stop_timezone,stop_url,tts_stop_name,zone_id,alias,stop_area,authority,lest_x,lest_y,kommentaar,kovde_oigusakt
25833,6700456-1,Lepplaane tee,58.438466,24.5022735,,,,0,,,,,PärnuMVLL,,Tori vald,Pärnumaa,6477680.029,529334.92,,
29128,7800658-1,Parve,58.5374394,27.0970164,Alatskivi suunas,,,0,,,,,,,Peipsiääre vald,Tartumaa,6492757.0,680307.625,,
155340,3700344-1,Kärdla sadam,59.0075978,22.7511061,Villalao ees,,,0,,,,,,,Kärdla linn,Hiiumaa,6541629.999,428243.0,,
5153,22317-1,Ojasoo,59.1289862,25.2046787,,,,0,,,,,Harju4B,,Kose vald,Harjumaa,6555102.999,568974.0,,Kose VV korraldus 1.nov 2016 nr 619
128967,6703015-1,Tammiku,58.66727,25.01656,,,,0,,,,,,,Põhja-Pärnumaa vald,Pärnumaa,6503501.373,558983.527,,
23637,8400819-1,Räksi,58.3650246,25.0647187,Tipu suunas,,,0,,,,,,,Põhja-Sakala vald,Viljandimaa,,,,
22991,8400825-1,Saare,58.4734507,25.6142124,Saarepeedi suunas,,,0,,,,,,,Viljandi vald,Viljandimaa,,,,
152852,7401008-1,Liivaküla,58.5331361,23.0217199,,,,0,,,,,,,Orissaare vald,Saaremaa,6488529.999,443019.531,,
27006,7801057-1,Vanamõisa,58.3633949,26.8493653,Luunja suunas,,,0,,,,,,,Luunja vald,Tartumaa,6472750.499,666721.687,,
25624,8200686-1,Rükkeli,57.7921048,26.0407133,,,,0,,,,,,,Valga vald,Valgamaa,6407426.069,621358.949,,
5535,33002-1,Kolga-Aabla,59.5653005,25.5345567,,,,0,,,,,Harju4B,,Kuusalu vald,Harjumaa,6604082.078,586746.365,,Kuusalu VV 24.09.2020 korraldus nr 587
158832,7401032-1,Rabamaja,58.5338121,22.9964822,,,,0,,,,,,,Orissaare vald,Saaremaa,6488626.999,441550.781,,
26307,7000484-1,Riidaku,58.939477,24.550823,,,,0,,,,,Rapla3,,Märjamaa vald,Raplamaa,6533504.289,531712.111,,
155982,4401154-1,Kassikaku,59.0092678,27.4509863,Kauksi suunas,,,0,,,,,,,Alajõe vald,Ida-Virumaa,6546247.5,698195.812,,
21825,5100367-1,Nurme,58.7169408,25.7970177,,,,0,,,,,tartu2,,Järva vald,Järvamaa,6509981.529,604111.09,,
21178,8200174-1,Kiisa,58.0887697,26.0234661,Pikasilla suunas,,,0,,,,,,,Tõrva vald,Valgamaa,6440421.94,619336.99,,
5019,23234-1,Saku keskuse,59.3004395,24.6619859,,,,0,,,,,Harju2,Saku,Saku vald,Harjumaa,6573768.999,537715.0,"KP, märgil KESKUSE",Saku VV korraldus 10.02.2026 nr 77
147029,8600881-1,Voki,57.7498581,27.1467807,Halla suunas,,,0,,,,,,,Võru vald,Võrumaa,6405269.0,687316.437,,
88574,5100323-1,Ojaküla,58.80023,25.69603,,,,0,,,,,tartu1,,Järva vald,Järvamaa,6519103.267,598027.059,,
25095,5900193-1,Kandle,59.504235,26.266917,,,,0,,,,,Viru2,,Haljala vald,Lääne-Virumaa,6598455.731,628362.344,,Haljala VV määrus 4.07.2018 nr 332
27022,8400234-1,Kivisaare,58.3785262,25.9421284,Viljandi - Tartu mnt suunas,,,0,,,,,,,Viljandi vald,Viljandimaa,,,,
9437,21463-1,Lasteaia,59.3265057,25.3417686,,,,0,,,,,Harju4B,,Anija vald,Harjumaa,6577250.644,576381.995,,Anija VV määrus 23.01.2024 nr 2-3/47
